22-caliber,22calibre-22caliber-22calibre
disbelieving,unbelieving-sceptical-skeptical
disburse,payout
discalced,discalceate-unshod
discard,throwingaway
discard,tossout-castaside-toss-putaway-throwout-dispose-tossaway-castaway-castout-chuckout-throwaway-fling
discernability,legibility
discernible,discernable
discernible,observable-evident
discerning,discreet
discernment,perceptiveness
discerp,lop-sever
discharge,firing-firingoff
discharge,venting
discharge,outpouring-run
discharge,electricdischarge-electricarc-arc-spark
discharge,expelling-emission
discharge,emission
discharge,musterout
discharged,laidoff-dismissed-pinkslipped-fired
disciple,adherent
discipline,correction
discipline,field-subjectarea-subject-subjectfield-bailiwick-fieldofstudy-study
discipline,correct-sortout
discipline,train-condition-check
disclose,uncover-expose
disclosure,revealing-revelation
disco,discotheque
disco,discomusic
discoid,discoidal-disklike-diskshaped-disclike-discshaped
discoid-lupus-erythematosus,dle
discolor,color-discolour-colour
discoloration,discolouration
discombobulated,disconcerted
discomfiture,disconcertment-disconcertion-discomposure
discomfort,soreness-irritation
discomfort,uncomfortableness
discomycete,cupfungus
disconcerting,upsetting
disconfirming,invalidating
disconnected,split-fragmented-disunited
disconnection,disjunction
discontented,discontent
discontentment,discontentedness-discontent
discontinuance,discontinuation
discontinue,cease-giveup-stop-layoff-quit
discontinuous,noncontinuous
discord,discordance
discord,dissension
discord,strife
discordance,discord
discordant,inharmonic-disharmonious-dissonant
discordantly,unharmoniously
discorporate,bodiless-unembodied-disembodied-unbodied
discount,deduction-pricereduction
discount-house,discountstore-wholesalehouse-discounter
discount-rate,bankdiscount-discount
discouragement,dismay-disheartenment
discourse,discuss-talkabout
discourteous,ungracious
discourtesy,offence-offensiveactivity-offense
discourtesy,rudeness
discover,find
discover,find
discovery,uncovering-find
discovery,breakthrough-find
discredit,disgrace
discredited,shamed-dishonored-disgraced
discredited,damaged
discrepancy,divergence-disagreement-variance
discrepancy,variant-variance
discrepant,inconsistent
discrepant,incompatible
discrete,distinct
discreteness,severalty-separateness-distinctness
discretion,discernment
discretion,circumspection-prudence-discreetness
discretionary,discretional
discriminate,knowapart
discriminate,singleout-separate
discrimination,favouritism-favoritism
discrimination,secernment
discriminative,judicial
discriminative,discriminatory
discriminative-stimulus,cue
discriminatory,preferential
discriminatory,invidious
discursively,ramblingly
discus,saucer
discussion,treatment-discourse
discussion,giveandtake-word
disdainful,prideful-lordly-overbearing-sniffy-haughty-supercilious-swaggering-imperious
disdainfully,cavalierly
diseased,morbid-pathologic-pathological
disembark,debark-setdown
disembowel,draw-eviscerate
disembowelment,evisceration
disenchant,disillusion
disenchanting,disillusioning
disenchantment,disillusion-disillusionment
disenfranchise,disfranchise
disenfranchised,voiceless-voteless-disfranchised
disengage,withdraw
disengagement,pullout-fallback
disentangle,straightenout-unsnarl
disentangled,loosened-unsnarled
disentangler,unraveler-unraveller
disfavor,disapproval-disfavour-dislike
disfavor,disfavour
disfigurement,deformity-disfiguration
disgraceful,shameful-shocking-scandalous
disgracefully,dishonorably-ingloriously-discreditably-dishonourably-ignominiously-shamefully
disgruntled,dissatisfied
disguise,camouflage
disguise,camouflage
disguise,mask
disgust,nauseate-revolt-sicken-churnup
disgust,repel-revolt-grossout
disgusted,sickof-sick-fedup-tiredof
disgusting,wicked-loathsome-yucky-loathly-repelling-skanky-repellent-revolting-distasteful-disgustful-foul-repellant
disgustingly,sickeningly-distastefully-revoltingly
disgustingness,unsavoriness
disgustingness,unsavoriness-nauseatingness-sickeningness-distastefulness
dish,dishaerial-saucer-dishantenna
dish,dishful
dish-the-dirt,gossip
dishabille,deshabille
disharmonize,dissonate
disharmony,inharmoniousness
dishearten,putoff
dished,patelliform-dishshaped
disheveled,tousled-dishevelled-frowzled-rumpled
dishonest,dishonorable
dishonestly,venally-deceitfully
dishonesty,knavery
dishonor,dishonour
dishonor,dishonour
dishonor,dishonour
dishonor,attaint-dishonour-disgrace-shame
dishonorable,dishonourable
dishonorableness,dishonourableness
dishrag,dishcloth
dishtowel,dishtowel-teatowel
dishwasher,dishwashingmachine-dishwasher
dishwasher-detergent,dishwashingdetergent-dishwashingliquid
dishwashing,washup
disincentive,deterrence
disinfectant,antimicrobial-antimicrobic-germicide
disingenuous,artful
disingenuously,artfully
disinherit,disown
disintegrate,decay-decompose
disinter,exhume
disinterest,neutrality
disinvolve,disentangle-disembroil
disjoin,disjoint
disjoin,disjoint
disjoined,separate
disjoint,disarticulate
disjointed,separated-dislocated
disjunct,isolated
disjunction,disjuncture-disconnectedness-disconnection
diskjockey,dj-discjockey
disk,disc
disk,disc-saucer
disk-brake,discbrake
disk-drive,discdrive-winchesterdrive-harddrive
disk-harrow,discharrow
disk-jockey,dj-dj-discjockey
disk-overhead,overhead
disk-pack,discpack
disk-space,discspace
diskette,floppydisk-floppy
dislocate,luxate-slip-splay
dislocation,breakdown
dislocation,disruption
dislodge,bump
dislodge,free
dislodgment,dislodgement
dismally,dreadfully
dismally,drearily
dismantling,disassembly-dismantlement
dismay,appall-alarm-horrify-appal
dismember,discerp-takeapart
dismemberment,takingapart
dismiss,discount-brushaside-ignore-disregard-pushaside-brushoff
dismiss,throwout
dismiss,usherout
dismiss,drop-sendaway-sendpacking
dismissal,firing-liberation-release-discharge-sacking-sack-dismission
dismissal,pinkslip-dismission
disobedience,noncompliance
disobedient,unruly
disobliging,uncooperative
disorder,upset
disorder,disarray
disordered,unordered
disorderliness,disorder
disorderly,topsyturvy-huggermugger-jumbled-higgledypiggledy
disorderly-conduct,disorderlybehavior-breachofthepeace-disturbanceofthepeace
disorganization,disorganisation
disorganization,disarrangement-disorganisation
disorganize,disorganise
disorganized,disorganised
disorient,disorientate
disorientation,freakout
disown,repudiate-renounce
disownment,disowning
disparage,pickat-belittle
disparagement,dispraise
disparagement,derogation-depreciation
disparagingly,slightingly
disparateness,distinctiveness
dispassion,dispassionateness-dryness
dispassionate,coldeyed
dispatch,shipment-despatch
dispatch,despatch
dispatch,expeditiousness-expedition-despatch
dispatch,communique-despatch
dispatch,despatch-sendoff
dispatch,complete-discharge
dispatch-case,dispatchbox
dispensability,dispensableness
disperse,dissipate-scatter-spreadout
disperse,dissipate-breakup-dispel-scatter
dispersed,spread
dispersed-phase,dispersedparticles
dispersing-phase,dispersionmedium-dispersingmedium
dispersion,diffusion-dispersal-dissemination
dispersion,scattering
dispirited,listless
dispiritedly,hopelessly
displace,forceout-sendaway-givenotice-can-terminate-sack-fire-givetheaxe-dismiss-givethesack
displaced-person,statelessperson-dp
displacement,deracination
displacement,displacementreaction
display,showing-exhibit
display,presentation
display,videodisplay
display,show
display-adapter,displayadaptor
display-panel,displayboard-board
display-window,shopwindow-showwindow-shopwindow
disposal,disposition
disposal,electricpig-garbagedisposal
dispose,incline
disposedp,disposed-inclined-fain-prepared
disposition,temperament
dispossessed,homeless-roofless
disproof,falsification-refutation
disproportionate,disproportional
disprove,confute
disputant,controversialist-eristic
disputatiously,argumentatively
dispute,contravention
dispute,difference-conflict-differenceofopinion
disqualify,unfit-indispose
disquiet,unease-uneasiness
disquieted,disturbed-distressed-worried-upset
disregard,neglect
disregard,neglect
disregarded,forgotten
disrepute,discredit
disrespect,discourtesy
disrespect,disesteem
disrupting-explosive,burstingexplosive
disruption,perturbation
disruptive,troubled-tumultuous-turbulent-riotous
diss,affront-insult
dissemble,pretend-act
dissemble,cloak-mask
dissemination,diffusion
dissemination,publicexposure-airing-spreading
dissenter,objector-protester-dissident-contestant
dissentient,dissenting-dissident
dissentient,recusant
dissentious,divisive-factious
dissertation,thesis
disservice,illservice-illturn
dissident,heterodox-heretical
dissimilarity,unsimilarity
dissipated,cardplaying-betting-sporting
dissociable,severable-separable
dissociation,disassociation
dissolubility,solubleness
dissoluteness,selfgratification-incontinence
dissolution,breakup
dissolution,disintegration
dissolvable,dissoluble
dissolve,dismiss
dissolve,breakup
dissolve,breakup
dissolve,dethaw-thaw-unthaw-melt-unfreeze
dissolve,breakup-resolve
dissolve,fadeaway-fadeout
dissolving,dissolution
dissuade,deter
distance,length
distance,aloofness
distance,space
distant,remote
distant,removed-remote
distant,remote
distasteful,unsavory-unsavoury
distention,distension
distill,distil
distill,distil
distill,distil-extract
distillate,distillation
distillation,distillment
distillery,still
distinct,decided
distinct,distinguishable
distinctive,typical
distinctly,clearly
distinctness,sharpness
distinguish,tell-secern-secernate-differentiate-severalize-separate-severalise-tellapart
distinguish,mark-differentiate
distinguished,magisterial-grand-imposing
distorted,twisted-misrepresented-perverted
distorted-shape,distortion
distortion,overrefinement-torture-twisting-straining
distortion,deformation
distract,deflect
distracted,distrait
distraction,misdirection
distraught,overwrought
distress,distraint
distress,hurt-suffering
distress-signal,distresscall
distressed,inabadway-hardpressed-hardput
distressing,disturbing-worrying-perturbing-worrisome-troubling-distressful
distribute,giveout-passout-handout
distribute,dealout-shellout-doleout-meteout-dispense-allot-lot-dishout-parcelout-administer-deal
distributed-data-processing,teleprocessing-remoteaccessdataprocessing
distribution,dispersion
distribution,statisticaldistribution
distribution-channel,channel
distributor,distributer-electricaldistributor
distributor,distributer
distributor-point,point-breakerpoint
district,territorialdominion-dominion-territory
district-attorney,da
distrust,mistrust-distrustfulness
distrust,mistrust-suspect
distrustfully,mistrustfully
disturb,trouble-upset
disturbance,hurlyburly-todo-disruption-commotion-hooha-hoohah-flutter-kerfuffle
disturbance,perturbation-upset
disturbed,maladjusted
disulfiram,antabuse
disunify,breakapart
disused,obsolete
disyllable,dissyllable
dita,alstoniascholaris-ditabark-deviltree
ditch-digger,muddigger
ditch-reed,carrizo-commonreed-phragmitescommunis
ditch-spade,longhandledspade
dither,tizzy-flap-pother-fuss
dither,flap-pother
dittany-of-crete,cretedittany-wintersweet-origanumdictamnus-cretandittany-hopmarjoram
ditto-mark,ditto
diuretic-drug,waterpill-diuretic
divan,diwan
divan,diwan
divan,diwan
dive,nosedive-nosedive
dive,diving
dive,plunge-plunk
diver,plunger
diver,frogman-underwaterdiver
divergence,divergency
divergence,divergency
divergent,diverging
divergent-thinking,outoftheboxthinking
diverging-lens,concavelens
diversa,divers-diverse
diverse,various
diverseness,variety-multifariousness-diversity
diversification,variegation
diversify,branchout-broaden
diversify,radiate
diversion,divagation-digression-deflexion-deviation-deflection
diversion,recreation
diversion,diversionaryattack
divert,hiveoff
divertimento,serenade
divest,disinvest
divest,disinvest
dividivi,caesalpiniacoriaria
divide,fraction
divide,split-carveup-splitup-separate-dissever
divided,sharedout-dividedup-shared
divided,duallane
divided-highway,dualcarriageway
divination,soothsaying-fortunetelling-foretelling
divinatory,vatical-sibyllic-sibylline-mantic-vatic
divine,inspired-elysian
divine,godly
divine,godlike
divine,godlike
divine-guidance,inspiration
divine-right,divinerightofkings
diving,divingevent
diving-suit,divingdress
divining-rod,waterfinder-waterfinder-dowsingrod-dowser
divinity,divinityfudge
division,sectionalisation-segmentation-partition-partitioning-sectionalization
division,variance
division,navaldivision
division,airdivision
division-archaebacteria,divisionarchaebacteria
division-eubacteria,divisioneubacteria
divisor,factor
divorce,divorcement
divorce,splitup
divorcee,grasswidow
divulgence,divulgement
dizygotic,dizygous
dizzily,giddily-lightheadedly
dizziness,giddiness-lightheadedness-vertigo
dizzy,vertiginous-giddy-woozy
donothinga,donothing
do,ut-doh
do,make
do,manage
do,perform
do,fare-come-makeout-getalong
do-well,hadbest
dobson,corydaluscornutus-dobsonfly-dobsonfly
docile,gentle
docile,teachable
dock,dockingfacility-dockage
dock,loadingdock
dock,sorrel-sourgrass
dock,tail-bob
dockage,dockingfee
docking,dockage-moorage-tyingup
doctors-degree,doctorate
doctor,doc-physician-medico-dr-md
doctor,dr
doctoral,doctorial
doctorfish,acanthuruschirurgus-doctorfish
doctrine,schoolofthought-philosophy-philosophicalsystem-ism
doctrine-of-analogy,analogy
document,papers-writtendocument
documentary,documental
documentary,infotainment-documentaryfilm-docudrama
documentation,support
documentation,certification-corroboration
doddering,senile-gaga-doddery
dodge,scheme-dodging
dodger,slyboots-fox
dodo,raphuscucullatus
dodo,fogey-fossil-fogy
dogs-breakfast,dogsdinner
dogs-mercury,dogmercury-mercurialisperennis
dogday-cicada,harvestfly
dogeared,eared
dog,canisfamiliaris-domesticdog
dog-days,caniculardays-canicule
dog-fennel,eupatoriumcapillifolium
dog-flea,ctenocephalidescanis
dog-grass,agropyronrepens-couchgrass-quackgrass-witchgrass-quickgrass-quackgrass-witchgrass
dog-laurel,leucothoefontanesiana-switchivy-doghobble-leucothoeeditorum
dog-rose,rosacanina
dog-shit,dogturd-doggydo-dogdo
dog-stinkhorn,mutinuscaninus
dog-violet,violacanina-heathviolet
dogged,dour-tenacious-pertinacious-unyielding-persistent
doggedly,tenaciously
doggedness,tenacity-pertinacity-perseverance-persistence-persistency-tenaciousness
doggerel,doggerelverse-jingle
doggie-bag,doggybag
dogging,persisting
doggo,outofsight-inhiding
dogie,dogy-leppy
dogma,tenet
dogmatic,dogmatical
dogmatist,doctrinaire
dogmatize,dogmatise
dogmatize,dogmatise
dogsled,dogsled-dogsleigh
dogsled,mush
dogtooth-violet,dogtooth-dogstoothviolet
dogwood,cornel-dogwoodtree
doily,doyley-doyly
dolabriform,dolabrate
dole,pogy-pogey
doleful,mournful
dolefully,sorrowfully
dolichocephalic,dolichocranial-dolichocranic
dolichocephaly,dolichocephalism
doll,dolly
doll-up,doup-glamup-prettyup
dollar,dollarmark-dollarsign
dollar,dollarbill-onedollarbill-buck-clam
dollar-mark,dollarsign
dollar-volume,turnover
dollarfish,poronotustriacanthus
dollhouse,dollshouse
dollhouse,dollshouse
dolman,dolmanjacket
dolmas,stuffedgrapeleaves
dolmen,cromlech-portaltomb
dolomite,bitterspar
dolor,dolour
dolorous,lachrymose-weeping-dolourous-tearful
dolphin-striker,martingale
dolphinfish,mahimahi-dolphin
dolphinfish,mahimahi
domain,domainofafunction
domain,demesne-land
dome,domedstadium-coveredstadium
domed,vaulted
domestic,domesticated
domestic,domestichelp-houseservant
domestic-animal,domesticatedanimal
domestic-ass,donkey-equusasinus
domestic-carp,cyprinuscarpio
domestic-cat,feliscatus-felisdomesticus-housecat
domestic-fowl,poultry-fowl
domestic-goat,caprahircus
domestic-llama,lamaperuana
domestic-partner,spousalequivalent-spouseequivalent-significantother
domestic-sheep,ovisaries
domestic-silkworm-moth,bombyxmori-domesticatedsilkwormmoth
domesticate,tame
domesticate,tame-domesticize-domesticise-reclaim
domesticate,naturalise-tame-naturalize-cultivate
domicile,legalresidence
dominance,ascendency-ascendancy-ascendence-ascendance-control
dominant-allele,dominant
dominate,master
dominate,overlook-command-overtop
dominated,henpecked
domination,supremacy-mastery
dominion,rule
domino,halfmask-eyemask
dominoes,dominos
dominus,dominee-dominie-domine
don,father
done,throughwith-through
done-forp,gone-kaput-donefor
done-forp,ruined-donefor-undone-washedup-sunk
done-withp,throughwith-donewith
donor,giver-conferrer-presenter-bestower
doodad,whatchamacallit-thingmabob-gubbins-doohickey-thingamajig-gimmick-thingummy-whatsis-widget-thingumabob-doojigger-whatchamacallum-thingmajig-gismo-thingamabob-thingumajig-gizmo
doodia,raspfern
doodlebug,antlion-antlion
doom,doomsday-endoftheworld-dayofreckoning
doomed,fated
doomed,illomened-illstarred-illfated-unlucky
doomed,lost
doortodoor,housetohouse
doorbell,bell-buzzer
doorframe,doorcase
doorjamb,doorpost
doorkeeper,doorman-porter-doorguard-hallporter-gatekeeper-ostiary
doorkeeper,ostiarius-ostiary
doorknob,doorhandle
doormat,welcomemat
doorsill,doorstep-threshold
doorstop,doorstopper
doorway,roomaccess-door-threshold
dopa,dihydroxyphenylalanine
dopamine,dopastat-intropin
dope,poop-lowdown-theskinny
dope,dopeup
dope-sheet,scratchsheet
doped,drugged-narcotized-narcotised
dormancy,quiescence-quiescency
dormantip,dormant-sleeping
dormant,inactive
dormant,hibernating-torpid
dormer,dormerwindow
dormie,dormy
dormitory,dorm-hall-studentresidence-residencehall
dormitory,dormitoryroom-dormroom
dorsal-root,posteriorroot-dorsalhorn-posteriorhorn
dorsal-scapular-vein,venascapularisdorsalis
dose,dosage
dose,dosage
dosemeter,dosimeter
doss,dossdown-crash
dossal,dossel
dosser,streetperson
dotcom,dotcom-dotcomcompany
dot,dit
dot,constellate-stud
dot-matrix-printer,matrixprinter-dotprinter
dotage,senility-secondchildhood
dotted,specked-stippled-flecked-speckled
dotted-gayfeather,liatrispunctata
dotterel,dotrel-charadriusmorinellus-eudromiasmorinellus
doublebarreled,doublebarrelled
doublebarreled,doublebarrelled
doublebitted-ax,westernaxe-doublebittedaxe-westernax
doubleblind-procedure,doubleblindstudy-doubleblindexperiment
doublechinned,loosejowled-jowly
doublecrosser,betrayer-doubledealer-twotimer-traitor
doubleprop,doublepropellerplane-twinpropellerplane-twinprop
doublereed-instrument,doublereed
double,lookalike-image
double,stuntman-stuntwoman
double,duplicate
double,forked
double,doubled-twofold-twofold
double,duple-dual
double,dual-threefold-twofold-treble-threefold-twofold
double,twobaser-twobagger-twobasehit
double-dutch,doubledutch
double-dutch,doubledutch
double-gloucester,doublegloucester
double-boiler,doublesaucepan
double-chin,buccula
double-creme,heavywhippingcream
double-crochet,doublestitch
double-crochet,doublestitch
double-cross,doublecrossing
double-dagger,diesis-doubleobelisk
double-decomposition,doubledecompositionreaction-metathesis
double-entry,doubleentrybookkeeping
double-over,double-doubleup
double-refraction,birefringence
double-time,doublequick
double-tongue,tripletongue
doubling,double
doubly,double-twice
doubly,intwoways
doubly-transitive-verb,doublytransitiveverbform
doubt,doubtfulness-dubiousness-question
doubt,incertitude-doubtfulness-dubiousness-uncertainty-dubiety
doubtful,dubious
doubtful,dubitable-inquestion-dubious
doubtful,tentative
doubtfully,dubiously
doubting,questioning-sceptical-skeptical
doubting-thomas,doubtingthomas
douche,douchebag
doughnut,donut-sinker
doughy,soggy
dour,grim-forbidding
dourly,glumly-sullenly
douroucouli,aotustrivirgatus
douse,dowse
douse,dowse
douse,putout
doves-foot-geranium,geraniummolle
dove,peacenik
dovecote,columbarium-columbary
dovetail,dovetailjoint
dowdily,frumpily-frumpishly
dowdiness,drabness-homeliness
dowdy,frumpish-frumpy
dowdy,pandowdy
dowel,joggle-dowelpin
downa,downward-down
downa,down
downp,down
downtoearth,earthy
down,downwardly-downward-downwards
down,downfeather
down,pile
down,cutdown-pushdown-pulldown-knockdown
down,shootdown-land
down,downpat-mastered
down-payment,deposit
downfall,ruination-ruin
downheartedness,dejectedness-dispiritedness-lowspiritedness-lowness
downiness,featheriness-fluffiness
downpour,waterspout-soaker-pelter-deluge-torrent-cloudburst
downrightness,straightforwardness
downriver,downstream
downstairs,below-onalowerfloor-downthestairs
downstairs,downstair
downturn,downswing
downwardip,downward
downwind,lee
downy,pubescent-sericeous-puberulent
downy,flossy-downlike-fluffy
downy-birch,betulapubescens-whitebirch
downy-brome,downycheat-droopingbrome-downychess-downybromegrass-cheatgrass-bromustectorum
downy-ground-cherry,physalispubescens-strawberrytomato
downy-manzanita,arctostaphylostomentosa-woollymanzanita
downy-mildew,falsemildew
downy-wood-mint,blephiliaceliata
downy-yellow-violet,violapubescens
dowry,dower-dowery-portion
dowse,dowsing-rhabdomancy
doxazosin,cardura
doxepin,adapin-doxepinhydrochloride-sinequan
doxycycline,vibramycin
doze,drowse
drab,sombre-sober-somber
drab,dreary
drachma,greekdrachma
draft,drawing-draught
draft,outline
draft,draught
draft,roughdrawing
draft,draught
draft,draftcopy
draft,tipple-draught-potation
draft,draught
draft,orderofpayment-billofexchange
draft-beer,draughtbeer
draft-dodger,draftevader
draft-horse,draughthorse-drayhorse
draftee,inductee-conscript
drafting,mechanicaldrawing
drafting-board,drawingboard
drafting-table,drawingtable
draftsman,drawer
draftsman,draughtsman-draftsperson
drafty,draughty
drag,retardingforce
drag,dragon-dragout
drag,dropbehind-getbehind-trail-hangback-dropback
drag-coefficient,coefficientofdrag
drag-down,beardown-beardownon-pressdownon-weighdown
drag-on,dragout
drag-up,dredgeup
dragon,flyingdragon-flyinglizard
dragon,firedrake
dragon,tartar
dragon-arum,dracunculusvulgaris-greendragon
dragon-tree,dracaenadraco
dragonfly,mosquitohawk-sewingneedle-skeeterhawk-snakefeeder-snakedoctor-devilsdarningneedle-darningneedle
dragonhead,dragonshead-dracocephalumparviflorum
dragoon,railroad-sandbag
drain,drainage
drain,wastepipe-drainpipe
drain,runout
drain-the-cup,drinkup
drainboard,drainingboard
draining,exhausting
dram,drachma-drachm
drama,dramaticevent
drama-critic,theatercritic
dramatic,striking-spectacular
dramatic-composition,dramaticwork
dramatic-production,dramaticperformance
dramatist,playwright
dramatization,dramatisation
dramatization,dramatisation
dramatize,dramatise
dramatize,dramatise-adopt
dramaturgic,dramaturgical
dramaturgy,theatre-dramatics-theater-dramaticart
draw,haulage-haul
draw,make
draw,cast
draw,get
draw,drawpoker
draw,takeout
draw,getout-takeout-pull-pullout
draw,quarter-drawandquarter
draw,drawplay
draw,lot
draw,tie-standoff
draw-a-bead-on,aspire-aim-shootfor
draw-in,retract
draw-off,drawaway-pulloff
draw-the-line,drawaline
draw-up,haulup-pullup
draw-up,pullup
draw-up,pullup-straightenup
drawbridge,liftbridge
drawers,underdrawers-boxers-shorts-boxershorts
drawing,drawingoff
drawing,draftsmanship-drafting
drawing-card,lossleader-leader
drawing-card,draw-attraction-attracter-attractor
drawing-room,withdrawingroom
drawknife,drawshave
drawnout,protracted-prolonged-lengthy-extended
drawstring,drawingstring-string
dray,camion
dreadfully,horribly-awfully
dreadnought,dreadnaught
dream,dreaming
dream,dreaming
dream,stargaze-daydream-woolgather
dreameda,dreamed
dreamily,moonily-dreamfully
dreamlike,surreal
dreamy,moony-woolgathering
dreamy,lackadaisical-languid-languorous
dredge,drag
dregs,settlings
drench,sop-soak-dowse-souse-douse
drenched,drenchedin
drenching,souse-soaking-sousing
dress,fulldress
dress,dressout
dress,decorate
dress,lineup
dress,frock
dress,coiffe-do-arrange-coif-set-coiffure
dress,dressup
dress,curry-groom
dress,getdressed
dress,apparel-garment-raiment-garb-tog-fitout-enclothe-habilitate-clothe
dress-blues,dresswhites
dress-down,underdress
dress-hat,operahat-stovepipe-tophat-highhat-topper-silkhat-beaver
dress-shirt,eveningshirt
dress-suit,whitetie-tailcoat-tails-fulldress-whitetieandtails-tailcoat
dress-up,windowdress
dressedp,dressedtokill-sprucedup-dressedtothenines-spiffedup-dressedup-dressed-dolledup-toggedup
dressed,polished
dressed-ore,concentrate
dresser,actorsassistant
dressing,bandaging-binding
dressing,grooming
dressing,medicaldressing
dressing,saladdressing
dressing-gown,loungingrobe-robedechambre
dressing-sack,dressingsacque
dressing-station,aidstation
dressing-table,dresser-vanity-toilettable
dressmaker,modiste-needlewoman-sempstress-seamstress
dribble,dribbling
dribble,carry
dribble,drop-drip
dribbler,drooler-driveller-slobberer
driedup,sear-sere-shriveled-shrivelled-withered
dried,desiccated-dehydrated
drift,gallery-heading
drift,purport
drift,movement-trend
drift,impetus-impulsion
drift-apart,driftaway
drill,mandrillusleucophaeus
drill,practice-practise-exercise
drill-master,drillinstructor
drill-rig,oilrig-oilrig-drillingrig
drill-steel,drillrod
drilling,boring
drilling-bit,drillbit
drilling-mud,drillingfluid
drilling-platform,offshorerig
drink,drunkenness-crapulence-boozing-drinking
drink,imbibe
drink,tope
drink-in,drink
drinkable,potable
drinker,imbiber-juicer-toper
drinking,imbibing-imbibition
drinking-fountain,bubbler-waterfountain
dripdry,permanentpress
drip,dripmold-dripmould
drip,dripping
drip,dribble-trickle
dripping,drippage
dripping-pan,drippan
drippy,drizzly
dripstone,hoodmold-hoodmould
drive,drivingforce-thrust
drive,get-aim
drive,ride
drive,motor
drive,take
drive,ride
drive,driving
drive,parkway
drive-around,chauffeur
drive-home,presshome-ramhome
drive-line,drivelinesystem
drivel,garbage
drivel,drool-dribble-slabber-slaver-slobber
driveller,jabberer
driven,impelled
driven,goaded
driven-well,tubewell
drivers-license,drivinglicence-drivinglicense-driverslicence
driver,numberonewood
driver,devicedriver
driveway,drive-privateroad
driving,impulsive
driving-iron,oneiron
drizzle,mizzle
drizzle,moisten
drizzle,mizzle
drogue,droguechute-drogueparachute
drollery,waggery
drollery,comedy-clowning-funniness
drone,dronepipe-bourdon
drone,radiocontrolledaircraft-pilotlessaircraft
drone,droneon
drool,drivel-dribble-slobber
drool-over,slobberover
droop,loll
drooping,droopy-sagging
drooping,flagging
drop,knockoff
drop,unload-discharge-putdown-setdown-dropoff
drop,fall-dip-freefall
drop,fall
drop,driblet-drib
drop,bead-pearl
drop-by,dropin-comeby
drop-curtain,drop-dropcloth
drop-forge,droppress-drophammer
drop-open,fallopen
drop-out,giveup-throwin-fallbythewayside-chuckupthesponge-dropbythewayside-throwinthetowel-quit
drop-scone,griddlecake-scotchpancake
drop-shot,dink
drop-the-ball,sin-blunder-boob-goof
drop-zone,droppingzone
dropline,staggeredhead-steppedline-stephead-staggerhead-dropline
dropper,eyedropper
dropping,falling
droppings,dung-muck
droshky,drosky
drosophila,drosophilamelanogaster
drought,drouth
drought,drouth
drove,drovechisel
drove,swarm-horde
drowsily,somnolently
drowsy,oscitant-yawning
drowsy,drowsing-dozy
drudge,galleyslave-peon-navvy
drudgery,donkeywork-grind-plodding
drudging,laboring-toiling-labouring
drug,dose
drug,dodrugs
drug-addict,junky-junkie
drug-addiction,whiteplague
drug-baron,druglord
drug-bust,drugsbust
drug-cocktail,haart-highlyactiveantiretroviraltherapy
drug-company,pharma-pharmaceuticalcompany
drug-of-abuse,streetdrug
drug-traffic,drugtrafficking-narcotraffic
drug-user,user-substanceabuser
drugstore,apothecarysshop-chemists-pharmacy-chemistsshop
drumshaped,drumlike
drum,drumfish
drum,membranophone-tympan
drum,metaldrum
drum,thrum-beat
drum-majorette,majorette
drum-majorette,majorette
drum-sander,electricsander-smoother-sander
drumhead,summary
drumhead,head
drunkard,drunk-rummy-wino-sot-inebriate
drunken-reveler,bacchanal-bacchant-drunkenreveller
drunkenness,insobriety-intoxication-inebriation-tipsiness-inebriety
drupe,stonefruit
dry,teetotal
dry,juiceless
dry,prohibitionist
dry,dryout
dry,dryout
dry,wry-ironical-ironic
dry-dock,drydock-gravingdock
dry-gangrene,mumificationnecrosis-coldgangrene-mummification
dry-plate,dryplateprocess
dry-unit,drymeasure
dry-vermouth,frenchvermouth
dry-wall,drystonewall
dryad,woodnymph
dryer,drier
drygoods,softgoods
dryland-blueberry,drylandberry-vacciniumpallidum
dryness,xerotes-waterlessness
du-maurier,georgelouispalmellabussondumaurier-dumaurier-georgedumaurier
du-maurier,damedaphnedumaurier-dumaurier-daphnedumaurier
dualpurpose,dualuse
dualistic,manichaean
duality,waveparticleduality
dub,nickname
dubnium,element105-db-atomicnumber105-hahnium
duchy,dukedom
duck,ducksegg
duck-sauce,hoisinsauce
duckbill,duckbilled
ducking,duckhunting
duct,canal-channel-epithelialduct
ductile,pliable-tensile-pliant-tractile-malleable
ductile,malleable
ductility,ductileness
ductule,ductulus
dudgeon,highdudgeon
duep,due
due-care,reasonablecare-ordinarycare
due-process,dueprocessoflaw
duel,affairedhonneur
dueler,duelist-duellist-dueller
duet,duo-duette
duet,duo-duette
duff,plumduff
duffel,duffle
duffel-bag,duffle-dufflebag-duffel
duffel-coat,dufflecoat
dugong,dugongdugon
dugout-canoe,dugout-pirogue
dulcet,mellifluous-honeyed-sweet-mellisonant
dull,slow-sluggish
dull,blunt
dull,leaden
dull,softened-muted-muffled
dull,thudding
dulled,greyed
dulled,benumbed
dullness,bluntness
dullness,obtuseness
dulse,rhodymeniapalmata
dumb,silent-mute
dumb-bomb,gravitybomb
dumb-cane,motherinlawplant-dieffenbachiasequine-motherinlawstongue
dumbbell,dope-boob-pinhead-dummy-booby
dumbfounded,dumbstruck-thunderstruck-flabbergasted-dumbstricken-dumfounded-stupefied
dumbly,obtusely-densely
