22-caliber,22calibre-22caliber-22calibre
american-holly,americanholly-christmasholly
american-hop,americanhop-humulusamericanus
american-hornbeam,americanhornbeam-carpinuscaroliniana
american-lady-crab,ladycrab-calicocrab-americanladycrab-ovalipesocellatus
american-larch,americanlarch-larixlaricina-blacklarch-tamarack
american-lobster,americanlobster-mainelobster-northernlobster-homarusamericanus
american-lobster,americanlobster-mainelobster-northernlobster
american-magpie,americanmagpie-picapicahudsonia
american-maidenhair-fern,americanmaidenhairfern-fivefingeredmaidenhairfern-adiantumpedatum
american-marten,martesamericana-americanmarten-americansable
american-mastodon,americanmastodon-americanmastodont-mammutamericanum
american-merganser,americanmerganser-mergusmerganseramericanus
american-mink,americanmink-mustelavison
american-mistletoe,americanmistletoe-arceuthobiumpusillum
american-mistletoe,phoradendronflavescens-americanmistletoe-phoradendronserotinum
american-mountain-ash,americanmountainash-sorbusamericana
american-oil-palm,americanoilpalm-elaeisoleifera
american-organ,americanorgan
american-parasol,lepiotaamericana-americanparasol
american-pasqueflower,easternpasqueflower-wildcrocus-americanpasqueflower-pulsatillapatens-bluetulip-lionsbeard-prairieanemone-americanpulsatilla-anemoneludoviciana
american-persimmon,possumwood-diospyrosvirginiana-americanpersimmon
american-plaice,americanplaice-hippoglossoidesplatessoides
american-plan,americanplan
american-quaking-aspen,americanquakingaspen-populustremuloides-americanaspen
american-raspberry,rubusstrigosus-americanraspberry-rubusidaeusstrigosus
american-rattlebox,americanrattlebox-crotalariasagitallis
american-red-elder,americanredelder-redberriedelder-sambucuspubens-stinkingelder
american-red-plum,gooseplum-americanredplum-augustplum-prunusamericana
american-red-squirrel,sprucesquirrel-tamiasciurushudsonicus-sciurushudsonicus-americanredsquirrel-redsquirrel
american-redstart,setophagaruticilla-americanredstart-redstart
american-rock-brake,americanrockbrake-cryptogrammaacrostichoides-americanparsleyfern
american-saddle-horse,americansaddlehorse
american-shrew-mole,neurotrichusgibbsii-americanshrewmole
american-smelt,rainbowsmelt-americansmelt
american-smokewood,chittamwood-cotinusobovatus-cotinusamericanus-americansmokewood
